"Cow Number","Robot","Group number","Lac. no","Lactation days","Day production","Total Intake","Programmed Total","Total Rest","Days Pregnant","Att. Too Low","Fat indication","Protein indication","Fat/Protein Ratio","Fat/Protein remark","Lactose indication","Impact of Cell Count on Herd","SCC Indication"
"2017","101","5","2","198","25.6","8.42","8.84","0.22","","","4.56","3.32","1.37","","","0.5","75"
"1215","103","5","8","48","26.0","6.06","10.00","3.59","","","4.88","3.19","1.53","Ketosis","","0.3","46"
"1378","103","5","3","196","26.2","11.55","10.00","1.24","","","4.57","3.33","1.37","","","0.5","67"
"2152","103","4","1","53","26.5","7.56","10.00","0.16","","","4.00","3.24","1.23","","","0.4","48"
"2153","103","4","1","34","26.7","10.94","10.00","0.21","","","4.39","3.07","1.43","","","0.4","47"
"1473","102","5","4","218","26.8","11.78","10.15","1.75","","","4.59","3.37","1.36","","","0.8","90"
"1356","102","5","4","177","27.0","8.02","9.87","0.31","","","4.68","3.44","1.36","","","0.8","97"
"1373","101","5","3","189","27.3","10.28","8.99","0.09","134","","4.34","3.13","1.39","","","0.5","63"
"2044","103","5","2","55","27.3","6.57","10.00","2.01","","","3.87","3.13","1.24","","","0.5","60"
"2000","102","5","3","35","28.3","9.09","10.00","0.10","","","4.55","3.62","1.26","","","0.2","19"
"1902","102","5","4","47","28.6","10.09","10.00","0.15","","","3.74","3.14","1.19","","","1.1","119"
"2120","103","5","2","32","28.6","10.13","10.00","0.15","","","3.87","3.30","1.17","","","1.1","132"
"2011","103","5","2","21","28.7","10.77","10.00","1.00","","","4.29","3.33","1.29","","","0.7","84"
"1461","102","5","3","247","29.1","9.57","10.06","2.19","","","5.03","3.40","1.48","","","0.8","86"
"2106","102","5","2","62","29.5","9.08","10.00","0.61","","","3.60","3.22","1.12","","","0.5","55"
"2100","102","5","2","37","29.7","6.06","10.00","0.10","","x","3.51","2.92","1.20","","","0.2","17"
"2112","101","5","2","26","30.0","9.69","10.00","0.21","","","3.95","3.11","1.27","","","0.2","27"
"2121","102","5","2","54","30.2","9.28","10.00","0.15","","","4.99","2.90","1.72","Ketosis","","1.1","131"
"1134","101","5","9","48","30.4","8.83","10.00","0.81","","","3.89","3.40","1.14","","","1.1","126"
"1369","101","5","4","238","30.4","11.28","10.47","0.90","","","4.75","3.59","1.32","","","1.4","158"
"1270","103","5","6","29","30.5","7.12","10.00","2.48","","","3.62","3.27","1.11","","","0.8","93"
"2116","103","5","2","51","30.5","9.58","10.00","0.21","","","4.39","3.03","1.45","","","0.7","79"
"1910","101","5","3","200","30.8","10.03","10.21","0.13","","","4.61","2.96","1.56","","","0.7","81"
"2020","102","5","2","50","30.8","7.66","10.00","2.11","","","3.17","2.92","1.09","","","1.2","134"
"2035","102","5","2","51","30.8","7.82","10.00","0.13","","","4.28","2.86","1.50","","","0.1","16"
"2113","103","5","2","53","31.1","7.80","10.00","0.10","","","3.91","3.06","1.28","","","0.6","77"
"1921","101","5","2","215","31.7","12.84","10.75","0.18","154","","5.29","3.27","1.62","","","1.0","117"
"1388","103","5","4","43","33.4","9.58","10.00","0.15","","","3.36","3.11","1.08","","","0.6","63"
"1269","103","5","6","45","33.5","9.87","10.00","0.19","","","4.92","3.21","1.53","Ketosis","","0.7","75"
"1333","101","5","5","53","34.8","10.86","10.00","0.36","","","3.41","3.13","1.09","","","1.6","162"
"1926","102","5","2","58","34.9","5.82","10.00","0.13","","","3.38","2.86","1.18","","","1.5","136"
"1903","101","5","4","30","35.3","9.96","10.00","0.24","","","4.02","3.29","1.22","","","0.7","66"
"2105","101","5","2","51","35.3","8.10","10.00","0.21","","","3.85","3.33","1.16","","","0.4","41"
"2014","101","5","2","50","35.4","9.72","10.00","0.18","","","3.64","2.86","1.27","","","0.4","36"
"2040","103","5","2","50","36.0","9.70","10.00","0.14","","","3.82","3.14","1.22","","","1.5","150"
"1460","101","5","7","45","36.2","9.60","10.00","0.14","","","3.77","3.08","1.22","","","0.7","66"
"2119","101","5","2","36","36.2","9.12","10.00","0.22","","","4.15","3.30","1.26","","","1.4","141"
"2007","102","5","2","49","36.3","9.15","10.00","0.17","","","3.88","3.06","1.27","","","2.0","186"
"1370","102","5","4","50","36.7","7.86","10.00","1.00","","","3.50","3.14","1.11","","","0.5","43"
"1914","102","5","4","58","36.8","9.66","10.00","0.14","","","3.84","3.22","1.19","","","0.6","60"
"2030","103","5","2","29","37.3","8.85","10.00","0.24","","","3.94","3.10","1.27","","","0.7","71"
"1194","102","5","7","50","39.5","7.97","10.00","0.16","","","4.27","3.08","1.39","","","0.2","16"
"1906","102","5","4","25","39.5","9.51","10.00","0.17","","","4.01","3.09","1.30","","","0.3","23"
"1291","101","5","5","55","40.8","9.67","10.00","0.12","","","4.32","2.92","1.48","","","0.1","12"
"1281","103","5","5","27","43.4","7.81","10.00","0.15","","","3.45","2.69","1.28","","","0.8","68"
"1264","103","5","3","51","45.5","9.57","10.00","0.15","","","3.70","2.76","1.34","","","0.6","49"
"1266","102","5","6","52","45.9","9.25","10.00","0.12","","","3.51","2.88","1.22","","","2.0","140"
