Cow Number,Robot,Group number,Lac. no,Lactation days,Day production,Total Intake,Programmed Total,Total Rest,Days Pregnant,Att. Too Low,Fat indication,Protein indication,Fat/Protein Ratio,Fat/Protein remark,Lactose indication,Impact of Cell Count on Herd,SCC Indication
1901,103.0,5.0,3.0,243,21.1,6.78,7.47,0.16,,,4.58,2.96,1.55,,,1.2,189.0
1919,103.0,5.0,3.0,219,15.8,6.34,7.0,1.79,134.0,,4.91,2.85,1.72,,,0.5,103.0
1920,103.0,5.0,3.0,240,18.8,8.31,7.78,0.1,,,4.61,3.25,1.42,,,0.8,138.0
1923,103.0,5.0,3.0,240,11.6,3.03,7.0,3.97,,,5.65,3.31,1.71,,,0.5,142.0
1924,103.0,5.0,3.0,242,16.8,6.28,7.0,0.1,154.0,,5.32,3.27,1.63,,,0.6,125.0
1928,103.0,5.0,2.0,243,13.4,5.51,7.0,1.49,155.0,,6.69,3.58,1.87,,,2.2,576.0
1929,103.0,5.0,2.0,207,16.9,6.15,7.21,1.84,,,5.33,3.55,1.5,,,0.8,164.0
2004,103.0,5.0,2.0,240,21.3,6.21,7.24,0.09,130.0,,4.69,3.41,1.38,,,0.6,91.0
2011,103.0,5.0,2.0,21,28.7,10.77,10.0,1.0,,,4.29,3.33,1.29,,,0.7,84.0
2030,103.0,5.0,2.0,29,37.3,8.85,10.0,0.24,,,3.94,3.1,1.27,,,0.7,71.0
2040,103.0,5.0,2.0,50,36.0,9.7,10.0,0.14,,,3.82,3.14,1.22,,,1.5,150.0
2044,103.0,5.0,2.0,55,27.3,6.57,10.0,2.01,,,3.87,3.13,1.24,,,0.5,60.0
2111,103.0,5.0,2.0,50,24.8,6.8,10.0,3.22,,,3.88,3.21,1.21,,,0.7,101.0
2113,103.0,5.0,2.0,53,31.1,7.8,10.0,0.1,,,3.91,3.06,1.28,,,0.6,77.0
2114,103.0,5.0,2.0,51,23.1,9.21,10.0,1.21,,,4.57,2.97,1.54,Ketosis,,0.4,53.0
2116,103.0,5.0,2.0,51,30.5,9.58,10.0,0.21,,,4.39,3.03,1.45,,,0.7,79.0
2120,103.0,5.0,2.0,32,28.6,10.13,10.0,0.15,,,3.87,3.3,1.17,,,1.1,132.0
