"Cow Number","Lac. no","Calving date","Group ","Sire","Lactation days","No of Calves","Day production","Reproduction","Last heat","Ins. Date","Since Insemination","Sire","Pregnancy Check Date","Days Pregnant","Days To Dry Off","Dry off days","Expected Dry Off Date","Dry off date","Expected calving date"
"2010","2","2023-08-21","Milking Cows","ARMITAGE","235","1","24.2","Open","","2023-12-02","132","CANDY-PP","2024-01-31","","","","","",""
"2012","2","2023-09-05","Milking Cows","ARMITAGE","220","1","19.9","Open","","2023-11-09","155","AMEN-PP","2024-01-31","","","","","",""
"2014","2","2024-02-22","Milking Cows","ARMITAGE","50","1","35.4","Open","","","","","","","","","","",""
"2015","2","2023-08-19","Milking Cows","","237","1","18.4","Open","","2023-11-30","134","CANDY-PP","2024-01-31","","","","","",""
"2016","2","2023-10-12","Milking Cows","","183","1","21.5","Open","","2023-12-15","119","Herd Bull","2024-01-31","","","","","",""
"2017","2","2023-09-27","Milking Cows","ARMITAGE","198","1","25.6","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2020","2","2024-02-22","Milking Cows","","50","1","30.8","Open","","","","","","","","","","",""
"2028","2","2023-09-05","Milking Cows","","220","1","20.8","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2033","1","2022-09-17","Dry Cows","ARMITAGE","573","1","","Open","","2023-05-19","329","AMEN-PP","2024-01-31","","","3","","2024-04-09",""
"2035","2","2024-02-21","Milking Cows","ARMITAGE","51","1","30.8","Open","","","","","","","","","","",""
"2040","2","2024-02-22","Milking Cows","","50","1","36.0","Open","","","","","","","","","","",""
"2044","2","2024-02-17","Milking Cows","","55","1","27.3","Open","","","","","","","","","","",""
"2105","2","2024-02-21","Milking Cows","","51","1","35.3","Open","","","","","","","","","","",""
"2106","2","2024-02-10","Milking Cows","SEVERINO","62","1","29.5","Open","","","","","","","","","","",""
"2109","1","2023-09-26","Milking Heifers","","199","1","19.3","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2110","1","2023-08-18","Milking Heifers","","238","1","21.0","Open","","2023-12-05","129","AMEN-PP","2024-01-31","","","","","",""
"2111","2","2024-02-22","Milking Cows","","50","1","24.8","Open","","","","","","","","","","",""
"2113","2","2024-02-19","Milking Cows","","53","1","31.1","Open","","","","","","","","","","",""
"2114","2","2024-02-21","Milking Cows","","51","1","23.1","Open","","","","","","","","","","",""
"2116","2","2024-02-21","Milking Cows","","51","1","30.5","Open","","","","","","","","","","",""
"2121","2","2024-02-18","Milking Cows","","54","1","30.2","Open","","","","","","","","","","",""
"2122","1","2023-08-12","Milking Heifers","","244","1","16.8","Open","","2023-12-04","130","CANDY-PP","2024-01-31","","","","","",""
"2128","1","2024-02-22","Milking Heifers","","50","1","21.1","Open","","","","","","","","","","",""
"2129","1","2023-08-13","Milking Heifers","","243","1","14.9","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"2130","1","2023-09-03","Milking Heifers","MIRAND","222","1","18.6","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"2133","1","2023-08-14","Milking Heifers","","242","1","16.3","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"2134","1","2023-08-07","Milking Heifers","","249","1","14.1","Open","","2023-11-10","154","CANDY-PP","2024-01-31","","","","","",""
"2135","1","2023-08-09","Milking Heifers","OVATION","247","1","13.6","Open","","2023-11-30","134","AMEN-PP","2024-01-31","","","","","",""
"2140","1","2023-09-22","Milking Heifers","","203","1","13.3","Open","","2023-11-09","155","CANDY-PP","2024-01-31","","","","","",""
"2141","1","2023-08-12","Milking Heifers","THOR PP","244","1","14.1","Open","","2023-11-10","154","AMEN-PP","2024-01-31","","","","","",""
"2143","1","2024-02-19","Milking Heifers","WAGHU CPC081","53","1","17.2","Open","","","","","","","","","","",""
"2144","1","2024-02-20","Milking Heifers","OVATION","52","1","10.9","Open","","","","","","","","","","",""
"2152","1","2024-02-19","Milking Heifers","OVATION","53","1","26.5","Open","","","","","","","","","","",""
"2154","1","2024-02-24","Milking Heifers","BUFFALO","48","1","19.4","Open","","","","","","","","","","",""
"2201","1","2024-02-19","Milking Heifers","SALOM","53","1","23.2","Open","","","","","","","","","","",""
"2202","1","2024-02-15","Milking Heifers","","57","1","24.0","Open","","","","","","","","","","",""
"2203","1","2024-02-20","Milking Heifers","SALOM","52","1","19.7","Open","","","","","","","","","","",""
"2204","1","2024-02-17","Milking Heifers","MIRAND","55","1","11.5","Open","","","","","","","","","","",""
"2205","1","2024-02-15","Milking Heifers","CONTARDO","57","1","15.3","Open","","","","","","","","","","",""
"2209","1","2024-02-23","Milking Heifers","SALOM","49","1","17.2","Open","","","","","","","","","","",""
"2219","1","2024-02-19","Milking Heifers","RIVERBEND","53","1","14.4","Open","","","","","","","","","","",""
